molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
1947613,50.0,%,Inhibition,CHEMBL3581555,CC(=O)N1CCN(c2ccc(CN(C(=O)c3ccccc3)C3CCC3)c(F)c2)CC1,50.0,,,,
1947614,50.0,%,Inhibition,CHEMBL3581556,CC(=O)N1CCN(c2ccc(CN(C(=O)Cc3ccccc3)C3CCC3)c(F)c2)CC1,50.0,,,,
1949460,5.0,%,Inhibition,CHEMBL3586243,CCCC[Si]1(CCCC)c2ccccc2-c2cc(C(C)O)ccc21,5.0,,,,
1949461,13.0,%,Inhibition,CHEMBL3586244,CCCC[Si]1(CCCC)c2ccccc2-c2ccccc21,13.0,,,,
1949462,18.0,%,Inhibition,CHEMBL3586245,CCCC[Si]1(CCCC)c2ccccc2-c2cc(CC)ccc21,18.0,,,,
1949463,5.0,%,Inhibition,CHEMBL3586246,CCCC[Si]1(CCCC)c2ccccc2-c2cc(C(C)=O)ccc21,5.0,,,,
2076386,11.0,%,Inhibition,CHEMBL3781118,CC(C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,11.0,,,,
2105950,92.5,%,Inhibition,CHEMBL3896579,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,83.0,102.0,,,
2115025,94.5,%,Inhibition,CHEMBL3905654,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,89.0,100.0,,,
2134476,99.0,%,Inhibition,CHEMBL3925105,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,95.0,103.0,,,
2161448,91.0,%,Inhibition,CHEMBL3952077,COc1nc2ccc(C(O)(c3cnnn3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,91.0,,,,
2166959,91.8,%,Inhibition,CHEMBL3957588,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,87.0,87.0,87.0,99.0,99.0
2174051,101.5,%,Inhibition,CHEMBL3964680,COc1nc2ccc(C(O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,100.0,103.0,,,
2174680,79.5,%,Inhibition,CHEMBL3965309,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C#N)cc1,65.0,94.0,,,
2177974,92.75,%,Inhibition,CHEMBL3968603,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,78.0,97.0,97.0,99.0,
2181591,103.5,%,Inhibition,CHEMBL3972220,COc1nc2ccc(C(O)(c3cncn3C)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,100.0,107.0,,,
2199414,103.66666666666667,%,Inhibition,CHEMBL4059503,CN(C)c1nc2ccc(C(O)(c3ccncc3)c3cncn3C)cc2c(Cl)c1-c1ccccc1,101.0,105.0,105.0,,
2202175,100.0,%,Inhibition,CHEMBL4062264,CCN(CC)c1nc2ccc(C(O)(c3ccncc3)c3cncn3C)cc2c(Cl)c1-c1ccccc1,100.0,,,,
2203848,101.0,%,Inhibition,CHEMBL4063937,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C#N)c(-c3ccccc3)c(Cl)c2c1,101.0,,,,
2210800,93.0,%,Inhibition,CHEMBL4070889,COc1c(-c2ccccc2)c(C(F)(F)F)nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc12,93.0,,,,
2211196,90.0,%,Inhibition,CHEMBL4071285,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(-c3ccccc3)c(Cl)c2c1,58.0,100.0,101.0,101.0,
2212440,104.0,%,Inhibition,CHEMBL4072529,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1-c1ccccc1,104.0,,,,
2213479,97.0,%,Inhibition,CHEMBL4073568,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C(F)(F)F)c(-c3ccccc3)c(C(F)(F)F)c2c1,97.0,,,,
2222339,17.0,%,Inhibition,CHEMBL4082428,CNc1c(-c2ccccc2)c(Cl)nc2ccc(C(O)(c3ccncc3)c3cncn3C)cc12,17.0,,,,
2222982,20.0,%,Inhibition,CHEMBL4083071,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccccc1,20.0,,,,
