smiles molregno
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3cccc(F)c3)cc2)cc1 2321198
CC(C)CN(Cc1ccc(N[C@@H]2CCN(S(C)(=O)=O)C[C@H]2F)cc1)S(=O)(=O)Cc1ccccc1 2248418
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C(C)=O)c2)cc1 1960264
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F 2481990
CCN(C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl)C1CCC1 2481889
CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(F)c2)cc1 1960275
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1 1613780
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3cccc(Cl)c3)s2)cc1 1613776
Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc3c(c2)CCCN3C(=O)c2c(F)cccc2Cl)cc1C 2080595
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccc(F)c23)cc1O 1780723
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(C)C)c(Cl)c2)cc1 1960256
COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1 2414366
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(C(F)(F)F)c3)c(C(=O)c3cccc(F)c3)s2)cc1 1613766
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccccc3F)c(F)c2)CC1 1947590
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCCN3CCOCC3)nc2CC2CCCCC2)c2ccccc12 2257414
CN(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC1CCC1 1953580
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC1CCC1 1953581
O=C(O)c1cc(F)c(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3ccccc32)c(F)c1 2431500
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(C)(C)C2)c(Cl)c1Cl)C(F)(F)F 2473161
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C2CCCCC2)c(Cl)c1Cl)C(F)(F)F 2259583
CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2cnc(S(=O)(=O)NC(C)(C)C)c3ccccc23)s1 2257887
COc1ccc2c(n1)CCN(C(=O)CCCC(=O)O)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1 2223739
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3ccccc32)c(F)c1 2440922
COc1ccc2c(c1)CCN(C(=O)Cc1cc(O)no1)[C@H]2C(=O)Nc1ccc(C(C)(C)C)c(F)c1 2201414
CCn1c2ccccc2c2cc(NC(=O)CC(C)CC(=O)Nc3ccc(C#N)c(Cl)c3)ccc21 1780747
CCS(=O)(=O)c1ccc([C@@H](NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1 2262850
CC1CCN(C(=O)c2nc(C(=O)NCC(C)(C)O)sc2-c2ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c2Cl)CC1 2474378
Cc1cccc(Cl)c1C(=O)c1cn(-c2ccc(C(=O)O)cc2)c2c(F)cccc12 2373129
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(C(O)C2CCN(S(C)(=O)=O)CC2)cc1 1825239
CCCOc1cc(-c2cc(C(N)=O)ccc2Cl)ccc1N(C)C(=O)c1c(F)cccc1Cl 1953574
CC(=O)N1CCN(c2ccc(CN(CC(F)(F)F)S(=O)(=O)C(C)c3ccccc3)c(F)c2)CC1 2126809
CN(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F 1953576
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccc(F)cc3F)c(F)c2)CC1 2130159
CCN(CC)c1nc2ccc(C(O)(c3ccncc3)c3cncn3C)cc2c(Cl)c1-c1ccccc1 2202175
CC(C)CN(c1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1 2138230
COc1ccc2c(c1)CCN(C(=O)CC(C)CC(=O)O)[C@H]2C(=O)Nc1cc(F)c([Si](C)(C)C)c(F)c1 2295629
Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCN(C(=O)C3CCCCC3)CC1)cn2C 2322978
CC(C)CN(Cc1ccccc1C(F)(F)F)S(=O)(=O)c1ccc(OC2CCN(S(C)(=O)=O)CC2)cn1 1825249
CCN(CC(C)C)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl 2482989
CC(=O)N1CCN(c2ccc(CN(CC(F)(F)F)S(=O)(=O)Cc3ccccc3)c(F)c2)CC1 2112612
