SMILES,target_0,target_1,target_2
C1=CC2=NC(=CN2C=C1)CNC3=CC=C(C=C3)I,4070.0,,
C1=CC2=NC(=S)N=C2C3=C1NSN3,537.0,,
C1=CC=C(C(=C1)/C=C(\C#N)/C2=NC3=CC=CC=C3N2)OCC4=C(C=C(C=C4)Cl)Cl,772.0,,
C1=CC=C(C(=C1)C(=O)NC(=O)/C=C/C2=CC=C(C=C2)Br)O,1092.0,,
C1=CC=C(C(=C1)C(=O)NC(=O)C=CC2=CC=C(C=C2)Br)O,2035.0,,
C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)F)F)[N+](=O)[O-],1060.0,,
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=CN4C=CC=NC4=N3)I,2622.0,,
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C5=NC6=C(N5)C=C(C=C6)NC(=O)C7=CC=CC=C7[N+](=O)[O-])[N+](=O)[O-],987.0,,
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NN=C(O3)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5[N+](=O)[O-])[N+](=O)[O-],12500.0,,
C1=CC=C(C(=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3)[N+](=O)[O-],772.0,,
C1=CC=C(C(=C1)C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl)Br,494.0,,
C1=CC=C(C(=C1)C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl)Cl,13.66,,
C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC(=CC=C2)NC(=O)C3=CC=CO3,471.0,,
C1=CC=C(C(=C1)C(=O)OCC(=O)C2=CC=C(C=C2)Br)O,1823.0,,
C1=CC=C(C(=C1)C(=O)ON=C(C2=CC=CC=N2)N)I,831.0,,
C1=CC=C(C(=C1)C(C2=CN=CC=C2)OCC(=O)NCCN)Cl,1150.0,,
C1=CC=C(C(=C1)C2=C(N3C=CC=NC3=N2)NC4=CC=CC(=C4)C(F)(F)F)O,1020.0,,
C1=CC=C(C(=C1)C2=CSC(=N2)C3=CC=C(C=C3)C(=O)NC4=C(C=C(C=C4)Cl)Cl)Cl,105.7,,
C1=CC=C(C(=C1)C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-])F,1260.0,,
C1=CC=C(C(=C1)C2=NC3=C(S2)N=C(S3)C4=CC=CC=C4O)O,467.0,,
C1=CC=C(C(=C1)C2=NNC(=C2)C(=O)NC3=C(OC4=CC=CC=C43)C(=O)NC5=CC(=CC=C5)Cl)O,74.2,,
C1=CC=C(C(=C1)C2C3C(=NC4=CC=CC=C4S2)C5=CC=CC=C5C3=O)F,278.2,,
C1=CC=C(C(=C1)C=C(C#N)C2=NC3=CC=CC=C3N2)OCC4=C(C=C(C=C4)Cl)Cl,717.0,,
C1=CC=C(C(=C1)C=NC2=CC=CC=C2[Te]C3=CC=CC=C3N=CC4=CC=CC=C4O)O,3.141,,
C1=CC=C(C(=C1)C=NNC(=O)COC2=CC(=CC=C2)Br)F,1191.0,,
C1=CC=C(C(=C1)CCNC2=NC=NC3=C2NC4=CC=CC=C43)F,150.1,,
C1=CC=C(C(=C1)CN2C(=O)OC(=N2)C3=CN=CC=C3)C#N,2377.0,,
C1=CC=C(C(=C1)CN2C3=CC=CC=C3C(=O)C2=O)[N+](=O)[O-],326.0,,
C1=CC=C(C(=C1)CN2C3=CC=CC=C3N=C2CO)F,1450.0,,
C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)/C=C(\C#N)/C4=NN(C(=C4C#N)N)CCO)Cl,450.0,,
C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)C=C(C#N)C4=NN(C(=C4C#N)N)CCO)Cl,294.2,,
C1=CC=C(C(=C1)N/N=C/NC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F)F,3.134,,
C1=CC=C(C(=C1)NC(=O)C2=CC=C(C=C2)Cl)O,1086.0,,
C1=CC=C(C(=C1)NC2=NC3=NON=C3N=C2NC4=CC(=CC=C4)Br)Cl,678.0,,
C1=CC=C(C(=C1)NCCC(=O)O)[N+](=O)[O-],4310.0,,
C1=CC=C(C(=C1)NNC(=O)C2=C(C=CC=C2Cl)F)F,31.6,,
C1=CC=C(C=C1)/C(=C(\C(C2=CC=CS2)C(C#N)C#N)/SC3=CC=C(C=C3)[N+](=O)[O-])/O,1250.0,,
C1=CC=C(C=C1)/C(=C\2/C(N(C(=O)C2=O)CCCN3C=CN=C3)C4=CC=CC=C4[N+](=O)[O-])/O,2830.0,,
C1=CC=C(C=C1)/C=C(/C(=O)NN=CC2=CC(=C(C=C2)O)O)\NC(=O)C3=CC=CC=C3,1114.0,,
C1=CC=C(C=C1)/C=C/C(=O)C2=C(C3=C(C=CC(=C3)[N+](=O)[O-])NC2=O)C4=CC=CC=C4,976.0,,
C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3)C=CC(=C4)NC(=O)/C=C\C5=CC=CC=C5,425.0,,
C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)NC3=CC=C(C=C3)C4=NC5=C(N4)C=C(C=C5)NC(=O)C6=CC=CC=C6NC(=O)/C=C/C7=CC=CC=C7,382.0,,
C1=CC=C(C=C1)/C=C/C(=O)NNC(=O)C2=CN=CC=C2,750.0,,
C1=CC=C(C=C1)/C=C/S(=O)(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl,397.0,,
C1=CC=C(C=C1)C#CCN(CC2=CC=CC=N2)CC3=CC=CC=N3,300.0,,
C1=CC=C(C=C1)C(=C(C(C2=CC=CS2)C(C#N)C#N)SC3=CC=C(C=C3)[N+](=O)[O-])O,661.0,,
C1=CC=C(C=C1)C(=NNC(=S)N)C=NNC(=S)N,37.6,,
